dataset,generator,config,config_name,n_real,n_fake,auc,ap
genvideo,ModelScope,MS4,Unified equal region 1+2+3,700,700,0.8524867346938776,0.8513162407381887
genvideo,MorphStudio,MS0,Dataset-specific region reference,700,700,0.8461244897959184,0.8479402738401393
genvideo,MorphStudio,MS1,Unified region 1,700,700,0.8422030612244897,0.8466310263765712
genvideo,MorphStudio,MS2,Unified region 2,700,700,0.8461642857142856,0.8480237317165928
genvideo,MorphStudio,MS3,Unified equal region 1+2,700,700,0.8446285714285715,0.8478374327045353
genvideo,MorphStudio,MS4,Unified equal region 1+2+3,700,700,0.8450846938775509,0.8478557436705794
genvideo,Show_1,MS0,Dataset-specific region reference,700,700,0.8752867346938775,0.8430001014937374
genvideo,Show_1,MS1,Unified region 1,700,700,0.8621448979591836,0.8268484932879102
genvideo,Show_1,MS2,Unified region 2,700,700,0.8752765306122449,0.8429861370718965
genvideo,Show_1,MS3,Unified equal region 1+2,700,700,0.8676744897959184,0.8337564245251532
genvideo,Show_1,MS4,Unified equal region 1+2+3,700,700,0.8699622448979591,0.8370871693568268
genvideo,Sora,MS0,Dataset-specific region reference,56,56,0.8875956632653061,0.8918487796871898
genvideo,Sora,MS1,Unified region 1,56,56,0.8879145408163265,0.8842576848903725
genvideo,Sora,MS2,Unified region 2,56,56,0.8875956632653061,0.8918487796871898
genvideo,Sora,MS3,Unified equal region 1+2,56,56,0.8866390306122448,0.8872597123767293
genvideo,Sora,MS4,Unified equal region 1+2+3,56,56,0.8879145408163266,0.8912364854299358
genvideo,WildScrape,MS0,Dataset-specific region reference,515,515,0.7715562258459798,0.6831558305977109
genvideo,WildScrape,MS1,Unified region 1,515,515,0.7768121406353097,0.700944122179109
genvideo,WildScrape,MS2,Unified region 2,515,515,0.7715750777641625,0.6832047181285925
genvideo,WildScrape,MS3,Unified equal region 1+2,515,515,0.7747516259779433,0.6919367912310165
genvideo,WildScrape,MS4,Unified equal region 1+2+3,515,515,0.7723310396832878,0.6861010895386481
