family,dataset,generator,config,config_name,n_real,n_fake,auc,ap,delta_auc_vs_base,delta_ap_vs_base,base_config
layer,videofeedback,Text2Video-Zero,H5,Equal calibrated layer 11+17+23,300,300,0.6886,0.7054292555055981,-0.10797222222222225,-0.07369697248172158,H0
layer,videofeedback,ZeroScope-576w,H0,Final layer 23,300,300,0.8065500000000001,0.8329721651308849,0.0,0.0,H0
layer,videofeedback,ZeroScope-576w,H1,Mid layer 11,300,300,0.7725111111111111,0.7991519308300192,-0.03403888888888895,-0.03382023430086567,H0
layer,videofeedback,ZeroScope-576w,H2,Late layer 17,300,300,0.8506777777777776,0.862711969925997,0.044127777777777544,0.029739804795112068,H0
layer,videofeedback,ZeroScope-576w,H3,Equal calibrated layer 11+23,300,300,0.8029277777777777,0.8245302416452669,-0.0036222222222224154,-0.008441923485618008,H0
layer,videofeedback,ZeroScope-576w,H4,Equal calibrated layer 17+23,300,300,0.8341222222222223,0.8514976959023614,0.02757222222222222,0.01852553077147645,H0
layer,videofeedback,ZeroScope-576w,H5,Equal calibrated layer 11+17+23,300,300,0.8231555555555555,0.8400708262032415,0.01660555555555543,0.007098661072356571,H0
layer,genvideo,Crafter,H0,Final layer 23,188,188,0.8240012449071978,0.7901305726336402,0.0,0.0,H0
layer,genvideo,Crafter,H1,Mid layer 11,188,188,0.833026822091444,0.7739721893751559,0.009025577184246125,-0.016158383258484288,H0
layer,genvideo,Crafter,H2,Late layer 17,188,188,0.8203372566772296,0.7701861663120113,-0.0036639882299682736,-0.01994440632162886,H0
layer,genvideo,Crafter,H3,Equal calibrated layer 11+23,188,188,0.8320931416930738,0.7777316834154105,0.008091896785875963,-0.012398889218229625,H0
layer,genvideo,Crafter,H4,Equal calibrated layer 17+23,188,188,0.8252178587596198,0.7782031740549096,0.0012166138524219994,-0.011927398578730597,H0
layer,genvideo,Crafter,H5,Equal calibrated layer 11+17+23,188,188,0.8310321412403802,0.7743210017928982,0.007030896333182324,-0.01580957084074197,H0
