group_type,dataset,subset,measure,n,mean,median,q10,q90,source_model,fixed_error_type,motion_group,effective_k_group,duration_group
dataset_subset,comgenvid,real,R1_minus_R0,898,0.014251670378619156,0.0040000000000000036,-0.018000000000000016,0.06400000000000004,,,,,
dataset_subset,genvideo,annotated,rho_mean,5639,0.09241085166292491,0.08003552258014679,0.04581420744458835,0.15483529965082804,,,,,
dataset_subset,genvideo,annotated,rho_median,5639,0.08269748289318155,0.06926658501227696,0.03692125628391902,0.14494899411996204,,,,,
dataset_subset,genvideo,annotated,mean_motion_magnitude,5639,3.7209071929448143,3.2313461303710938,1.547017010052999,6.561424509684245,,,,,
dataset_subset,genvideo,annotated,mean_common_magnitude,5639,1.2617458856875503,1.0178814331690471,0.44276386896769204,2.4315281550089516,,,,,
dataset_subset,genvideo,annotated,raw_d2_score,5639,0.04649169451060026,0.008333333147068732,0.0,0.1153333351016041,,,,,
dataset_subset,genvideo,annotated,residual_d2_score,5639,0.08041629734873378,0.014999999664723873,0.0,0.2369999974966046,,,,,
dataset_subset,genvideo,annotated,R0,5639,0.13197676893066143,0.064,0.012,0.376,,,,,
dataset_subset,genvideo,annotated,R1,5639,0.14094750842347936,0.073,0.014,0.3861999999999998,,,,,
dataset_subset,genvideo,annotated,R1_minus_R0,5639,0.008970739492817875,0.0020000000000000018,-0.006000000000000005,0.04200000000000001,,,,,
dataset_subset,genvideo,real,rho_mean,7984,0.11643956971677745,0.10308522172272205,0.05962351883451144,0.19097806761662162,,,,,
dataset_subset,genvideo,real,rho_median,7984,0.10646987036063606,0.09271228003005186,0.04975856511543194,0.18202523278693356,,,,,
dataset_subset,genvideo,real,mean_motion_magnitude,7984,5.127643430760444,4.978316267331442,2.458594091733297,8.00272437731425,,,,,
dataset_subset,genvideo,real,mean_common_magnitude,7984,1.7355626046175041,1.6115523874759674,0.8342088749011358,2.770688541730245,,,,,
dataset_subset,genvideo,real,raw_d2_score,7984,0.22176957984249468,0.1800000021855036,0.02166666649281971,0.48166666130224867,,,,,
dataset_subset,genvideo,real,residual_d2_score,7984,0.3122595191765863,0.28166666626930237,0.029999999639888603,0.646666675247252,,,,,
dataset_subset,genvideo,real,R0,7984,0.46758016032064126,0.48450000000000004,0.114,0.7889999999999999,,,,,
dataset_subset,genvideo,real,R1,7984,0.4747364729458918,0.492,0.11800000000000001,0.8029999999999999,,,,,
dataset_subset,genvideo,real,R1_minus_R0,7984,0.0071563126252505,0.006000000000000005,-0.038,0.051999999999999935,,,,,
dataset_subset,videofeedback,annotated,rho_mean,3000,0.1212373025591692,0.10313877463340759,0.04694695348540942,0.2236916035413742,,,,,
dataset_subset,videofeedback,annotated,rho_median,3000,0.11389771279501212,0.09372196222345033,0.040219928696751596,0.2201536789536476,,,,,
dataset_subset,videofeedback,annotated,mean_motion_magnitude,3000,4.838480483238896,4.333225965499878,1.7947700500488282,8.509340572357177,,,,,
dataset_subset,videofeedback,annotated,mean_common_magnitude,3000,1.8587782046902508,1.4642597436904907,0.5005113273859024,3.702478432655334,,,,,
dataset_subset,videofeedback,annotated,raw_d2_score,3000,0.07899944412553059,0.0199999995529651,0.0,0.25833332585170865,,,,,
dataset_subset,videofeedback,annotated,residual_d2_score,3000,0.13888444457285934,0.05999999850367506,0.009999999776482582,0.4134999997913836,,,,,
dataset_subset,videofeedback,annotated,R0,3000,0.13625465258215963,0.09659154929577465,0.004225352112676056,0.30985915492957744,,,,,
dataset_subset,videofeedback,annotated,R1,3000,0.15647412676056335,0.11408450704225351,0.008450704225352112,0.352112676056338,,,,,
dataset_subset,videofeedback,annotated,R1_minus_R0,3000,0.020219474178403758,0.0059999999999999915,0.0,0.064,,,,,
dataset_subset,videofeedback,real,rho_mean,500,0.07802700173979003,0.06412122398614883,0.043204176053404805,0.12972663094600045,,,,,
dataset_subset,videofeedback,real,rho_median,500,0.07192926075433691,0.057180583477020264,0.03779531481365363,0.11911131540934246,,,,,
dataset_subset,videofeedback,real,mean_motion_magnitude,500,5.496710574070613,5.1029345989227295,2.8759281118710835,8.75765905380249,,,,,
dataset_subset,videofeedback,real,mean_common_magnitude,500,1.6212987871766091,1.4284773866335552,0.8045884132385254,2.642756446202596,,,,,
