dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant
genvideo,0.8727714654370733,0.8620590535515579,0.8731018177422308,0.0886534424673051,0.25653176387447174,0.5218533710185638,s71_d1
videofeedback,0.8139005218875248,0.8245231681330527,0.7833514989779179,0.017563985786117037,0.08001971866421163,0.5756101328350691,s71_d1
comgenvid,0.9254213768780909,0.929640203628929,0.9220392301136988,0.08017817371937638,0.31570155902004454,0.34242761692650336,s71_full
genvideo,0.8768826490964281,0.8674451442737225,0.8752566695344619,0.08966900970531644,0.2587086959030424,0.5050194947844897,s71_full
videofeedback,0.8210468255882323,0.8345657009271111,0.7880007580231013,0.019682159659489207,0.08252999677520417,0.5625515485427651,s71_full
comgenvid,0.9090062177270947,0.9186347240676869,0.8986374926841364,0.10634743875278396,0.2305122494432071,0.3580178173719376,s71_global
genvideo,0.8706972055608873,0.8618887361230356,0.862158765647117,0.08428416223912125,0.186563456388744,0.5202098585220696,s71_global
videofeedback,0.808526842637665,0.8336968682971576,0.7665656282473616,0.022601412156272777,0.09891912832960757,0.5352976893086182,s71_global
comgenvid,0.9246193595269864,0.9288787969889548,0.9212909079251269,0.07739420935412027,0.3023385300668151,0.34743875278396436,s71_matched
genvideo,0.8764543149944666,0.8670321935021501,0.8750749534057268,0.08737181844347988,0.25976818667437407,0.508083653427392,s71_matched
videofeedback,0.8220314983038061,0.8358155398141673,0.7887519221282272,0.021965554959724923,0.08483622803760853,0.5534418391440035,s71_matched
comgenvid,0.9253438723022207,0.9293039250155832,0.9222661691439653,0.0740534521158129,0.316815144766147,0.3507795100222717,s71_source
genvideo,0.8768826490964281,0.8674451442737225,0.8752566695344619,0.08966900970531644,0.2587086959030424,0.5050194947844897,s71_source
videofeedback,0.8210468255882323,0.8345657009271111,0.7880007580231013,0.019682159659489207,0.08252999677520417,0.5625515485427651,s71_source
