dataset,generator,local,alpha_global,auc,ap
videofeedback,LaVie-base,P0,0.6,0.839288888888889,0.8492586475825613
videofeedback,LaVie-base,P0,0.8,0.8482333333333333,0.858039221633481
videofeedback,ModelScope,L0,0.2,0.8067777777777778,0.7966498311443587
videofeedback,ModelScope,L0,0.4,0.8272555555555556,0.8219404244643714
videofeedback,ModelScope,L0,0.5,0.8351777777777778,0.8329433604228353
videofeedback,ModelScope,L0,0.6,0.8409444444444445,0.8420338135011006
videofeedback,ModelScope,L0,0.8,0.8437111111111111,0.8501003997098031
videofeedback,ModelScope,L1,0.2,0.8239333333333334,0.8405174028753571
videofeedback,ModelScope,L1,0.4,0.8239222222222222,0.8404752228331771
videofeedback,ModelScope,L1,0.5,0.8239222222222222,0.8404752228331771
videofeedback,ModelScope,L1,0.6,0.8239111111111111,0.8404346110188311
videofeedback,ModelScope,L1,0.8,0.8239111111111111,0.8404346110188311
videofeedback,ModelScope,L2,0.2,0.7482777777777778,0.7324638486240275
videofeedback,ModelScope,L2,0.4,0.7796777777777778,0.7722196058103257
videofeedback,ModelScope,L2,0.5,0.7945111111111111,0.7914082275317654
videofeedback,ModelScope,L2,0.6,0.8071666666666666,0.8082243992880902
videofeedback,ModelScope,L2,0.8,0.8280555555555555,0.8352946671256107
videofeedback,ModelScope,L3,0.2,0.8011444444444444,0.7891811594738098
videofeedback,ModelScope,L3,0.4,0.8225888888888889,0.8167876336169337
videofeedback,ModelScope,L3,0.5,0.8298444444444446,0.8269192838732161
videofeedback,ModelScope,L3,0.6,0.8359111111111112,0.8379590721672959
videofeedback,ModelScope,L3,0.8,0.8402222222222223,0.8474730308085169
videofeedback,ModelScope,P0,0.2,0.8097333333333333,0.799842263488729
videofeedback,ModelScope,P0,0.4,0.8302555555555555,0.8258987070735693
videofeedback,ModelScope,P0,0.5,0.8371999999999999,0.8362751587543169
videofeedback,ModelScope,P0,0.6,0.8422333333333334,0.8437996834859949
videofeedback,ModelScope,P0,0.8,0.8436,0.8505308887586323
videofeedback,Pika,L0,0.2,0.8934,0.9088348833374811
videofeedback,Pika,L0,0.4,0.8991888888888888,0.9137176006733596
videofeedback,Pika,L0,0.5,0.8979888888888888,0.9120717052539089
videofeedback,Pika,L0,0.6,0.8956222222222223,0.9085809758442323
videofeedback,Pika,L0,0.8,0.8824666666666667,0.8920206882651713
videofeedback,Pika,L1,0.2,0.8431111111111111,0.8578053453223072
videofeedback,Pika,L1,0.4,0.843088888888889,0.8577236358924966
videofeedback,Pika,L1,0.5,0.843088888888889,0.8577236358924966
videofeedback,Pika,L1,0.6,0.843088888888889,0.8577236358924966
videofeedback,Pika,L1,0.8,0.843088888888889,0.8577236358924966
videofeedback,Pika,L2,0.2,0.8555333333333333,0.8735634618587319
videofeedback,Pika,L2,0.4,0.8746777777777778,0.89140447960148
videofeedback,Pika,L2,0.5,0.8808222222222223,0.8971972773729421
videofeedback,Pika,L2,0.6,0.8837999999999999,0.8993108866018984
