dataset,beta,mode,source_model,n_real,n_fake,n_total,auc,ap
videofeedback,0.0,fused_alpha0p60,SoRA-Clip,920.0,920.0,1840.0,0.8291623345935729,0.8331109277503331
videofeedback,0.0,fused_alpha0p60,Text2Video-Zero,4080.0,4080.0,8160.0,0.750792723952326,0.7690825320579935
videofeedback,0.0,fused_alpha0p60,VideoCrafter2,4080.0,4080.0,8160.0,0.9133949983179546,0.9282938107090318
videofeedback,0.0,fused_alpha0p60,ZeroScope-576w,2178.0,2178.0,4356.0,0.8731852711942871,0.878926870634585
videofeedback,0.0,fused_alpha0p60,Average,2820.2,2820.2,5640.4,0.8624684637667658,0.8736623455029768
videofeedback,0.05,patch_only,AnimateDiff,1398.0,1398.0,2796.0,0.8250970628385943,0.8212180225085717
videofeedback,0.05,patch_only,Fast-SVD,1000.0,1000.0,2000.0,0.8734284999999999,0.8985725471392699
videofeedback,0.05,patch_only,LVDM,3172.0,3172.0,6344.0,0.8556619414994696,0.8617267881391452
videofeedback,0.05,patch_only,LaVie-base,3214.0,3214.0,6428.0,0.7826477889786014,0.7779116580131353
videofeedback,0.05,patch_only,ModelScope,4080.0,4080.0,8160.0,0.8312973675990003,0.8321100979889818
videofeedback,0.05,patch_only,Pika,4080.0,4080.0,8160.0,0.8812596417243368,0.8988891759631987
videofeedback,0.05,patch_only,SoRA-Clip,920.0,920.0,1840.0,0.7888102551984877,0.7814205516092276
videofeedback,0.05,patch_only,Text2Video-Zero,4080.0,4080.0,8160.0,0.6555816572952711,0.6671060067571728
videofeedback,0.05,patch_only,VideoCrafter2,4080.0,4080.0,8160.0,0.8517693915801614,0.8687295863414228
videofeedback,0.05,patch_only,ZeroScope-576w,2178.0,2178.0,4356.0,0.8761172750967392,0.873289257986872
videofeedback,0.05,patch_only,Average,2820.2,2820.2,5640.4,0.8221670881810661,0.8280973692446997
videofeedback,0.05,fused_alpha0p60,AnimateDiff,1398.0,1398.0,2796.0,0.8668509683770602,0.8836725728403776
videofeedback,0.05,fused_alpha0p60,Fast-SVD,1000.0,1000.0,2000.0,0.90335,0.9133607498409954
videofeedback,0.05,fused_alpha0p60,LVDM,3172.0,3172.0,6344.0,0.8962422815334048,0.9093369346457734
videofeedback,0.05,fused_alpha0p60,LaVie-base,3214.0,3214.0,6428.0,0.833927504473467,0.8482019750858505
videofeedback,0.05,fused_alpha0p60,ModelScope,4080.0,4080.0,8160.0,0.8631398981161091,0.8700406586359127
videofeedback,0.05,fused_alpha0p60,Pika,4080.0,4080.0,8160.0,0.8921824538638985,0.9044358727117743
videofeedback,0.05,fused_alpha0p60,SoRA-Clip,920.0,920.0,1840.0,0.8289957466918714,0.8329851363688687
videofeedback,0.05,fused_alpha0p60,Text2Video-Zero,4080.0,4080.0,8160.0,0.755796568627451,0.7737212075259532
videofeedback,0.05,fused_alpha0p60,VideoCrafter2,4080.0,4080.0,8160.0,0.9116536308150711,0.9275078113011146
videofeedback,0.05,fused_alpha0p60,ZeroScope-576w,2178.0,2178.0,4356.0,0.8753534173018269,0.8811022877585281
videofeedback,0.05,fused_alpha0p60,Average,2820.2,2820.2,5640.4,0.862749246980016,0.8744365206715148
videofeedback,0.1,patch_only,AnimateDiff,1398.0,1398.0,2796.0,0.8225065032613524,0.822270600424254
videofeedback,0.1,patch_only,Fast-SVD,1000.0,1000.0,2000.0,0.8712755,0.8964654624178209
videofeedback,0.1,patch_only,LVDM,3172.0,3172.0,6344.0,0.8629808686186986,0.8702828874973061
videofeedback,0.1,patch_only,LaVie-base,3214.0,3214.0,6428.0,0.7812309168545052,0.7785063773830829
videofeedback,0.1,patch_only,ModelScope,4080.0,4080.0,8160.0,0.8366703010861207,0.8394444783957942
videofeedback,0.1,patch_only,Pika,4080.0,4080.0,8160.0,0.8724439818819685,0.8925265612491248
videofeedback,0.1,patch_only,SoRA-Clip,920.0,920.0,1840.0,0.7886838374291116,0.7815680352633863
videofeedback,0.1,patch_only,Text2Video-Zero,4080.0,4080.0,8160.0,0.6635882232795078,0.6743193878927447
videofeedback,0.1,patch_only,VideoCrafter2,4080.0,4080.0,8160.0,0.849351841839677,0.8682006446878106
videofeedback,0.1,patch_only,ZeroScope-576w,2178.0,2178.0,4356.0,0.8795714470019504,0.8789061095109343
videofeedback,0.1,patch_only,Average,2820.2,2820.2,5640.4,0.8228303421252893,0.8302490544722259
videofeedback,0.1,fused_alpha0p60,AnimateDiff,1398.0,1398.0,2796.0,0.8647009523107811,0.8832627088045897
videofeedback,0.1,fused_alpha0p60,Fast-SVD,1000.0,1000.0,2000.0,0.9014270000000001,0.9116909447028934
videofeedback,0.1,fused_alpha0p60,LVDM,3172.0,3172.0,6344.0,0.9003692659128026,0.913245088596135
videofeedback,0.1,fused_alpha0p60,LaVie-base,3214.0,3214.0,6428.0,0.8326328032034708,0.8480272837833465
videofeedback,0.1,fused_alpha0p60,ModelScope,4080.0,4080.0,8160.0,0.8660552431757017,0.8732217636239763
videofeedback,0.1,fused_alpha0p60,Pika,4080.0,4080.0,8160.0,0.8862728878316033,0.9000630680071693
videofeedback,0.1,fused_alpha0p60,SoRA-Clip,920.0,920.0,1840.0,0.8286625708884688,0.8328073283169724
videofeedback,0.1,fused_alpha0p60,Text2Video-Zero,4080.0,4080.0,8160.0,0.7607197952710496,0.7782970449505653
videofeedback,0.1,fused_alpha0p60,VideoCrafter2,4080.0,4080.0,8160.0,0.9096249038831219,0.9265122828167115
videofeedback,0.1,fused_alpha0p60,ZeroScope-576w,2178.0,2178.0,4356.0,0.8772270665583962,0.8831686304710291
videofeedback,0.1,fused_alpha0p60,Average,2820.2,2820.2,5640.4,0.8627692489035397,0.8750296144073388
videofeedback,0.15,patch_only,AnimateDiff,1398.0,1398.0,2796.0,0.8196887644519761,0.8228185161003125
videofeedback,0.15,patch_only,Fast-SVD,1000.0,1000.0,2000.0,0.868418,0.8935449620083946
videofeedback,0.15,patch_only,LVDM,3172.0,3172.0,6344.0,0.8698071297720121,0.8783786891725682
videofeedback,0.15,patch_only,LaVie-base,3214.0,3214.0,6428.0,0.7794008226299919,0.7786649030636216
