dataset,variant,nominal_real_fpr,threshold,role,group,n,count,rate,ci95_low,ci95_high,threshold_n,reference_real_fpr
genvideo,local_d2_target_diagonal_only,0.001,0.0035035035035035035,real,MSR-VTT,7984,33,0.004133266533066132,0.002944712574623965,0.005798758259235745,2000,0.001
genvideo,local_d2_target_diagonal_only,0.001,0.0035035035035035035,fake,Crafter,188,10,0.05319148936170213,0.029145921355217902,0.09513096314750945,2000,0.001
genvideo,local_d2_target_diagonal_only,0.001,0.0035035035035035035,fake,Gen2,1380,261,0.1891304347826087,0.1693424104723848,0.2106443686987023,2000,0.001
genvideo,local_d2_target_diagonal_only,0.001,0.0035035035035035035,fake,Lavie,1400,96,0.06857142857142857,0.056479257348856955,0.08302471412183318,2000,0.001
genvideo,local_d2_target_diagonal_only,0.001,0.0035035035035035035,fake,ModelScope,700,26,0.037142857142857144,0.02547145066952207,0.05386667032473996,2000,0.001
genvideo,local_d2_target_diagonal_only,0.001,0.0035035035035035035,fake,MorphStudio,700,34,0.04857142857142857,0.034963859613052956,0.06710665345542483,2000,0.001
genvideo,local_d2_target_diagonal_only,0.001,0.0035035035035035035,fake,Show_1,700,30,0.04285714285714286,0.030182840645738465,0.06052147638563145,2000,0.001
genvideo,local_d2_target_diagonal_only,0.001,0.0035035035035035035,fake,Sora,56,4,0.07142857142857142,0.028126036578876953,0.16975448060863452,2000,0.001
genvideo,local_d2_target_diagonal_only,0.001,0.0035035035035035035,fake,WildScrape,515,41,0.07961165048543689,0.05922524181211644,0.10622309960571921,2000,0.001
genvideo,local_d2_target_diagonal_only,0.01,0.013513513513513514,real,all_real,7984,102,0.01277555110220441,0.010535931266763115,0.015483796327001543,2000,0.01
genvideo,local_d2_target_diagonal_only,0.01,0.013513513513513514,real,MSR-VTT,7984,102,0.01277555110220441,0.010535931266763115,0.015483796327001543,2000,0.01
genvideo,local_d2_target_diagonal_only,0.01,0.013513513513513514,fake,Crafter,188,33,0.17553191489361702,0.12780627747480672,0.23625193627122154,2000,0.01
genvideo,local_d2_target_diagonal_only,0.01,0.013513513513513514,fake,Gen2,1380,561,0.40652173913043477,0.3809008252210334,0.43266163285139136,2000,0.01
