dataset,variant,window_frames,role,group,nominal_real_fpr,threshold,threshold_n,n,count,rate,ci95_low,ci95_high,reference_real_fpr
videofeedback,local_d2_target_diagonal_raw,16,real,Panda70M,0.001,-1455.5125062881523,2000,148,0,0.0,-1.734723475976807e-18,0.025299143267784395,0.001
videofeedback,local_d2_target_diagonal_raw,16,fake,AnimateDiff,0.001,-1455.5125062881523,2000,218,0,0.0,0.0,0.017316234941454418,0.001
videofeedback,local_d2_target_diagonal_raw,16,fake,Fast-SVD,0.001,-1455.5125062881523,2000,290,1,0.0034482758620689655,0.0006089649232823187,0.01927066283291753,0.001
videofeedback,local_d2_target_diagonal_raw,16,fake,LVDM,0.001,-1455.5125062881523,2000,276,0,0.0,8.673617379884035e-19,0.01372726842149399,0.001
videofeedback,local_d2_target_diagonal_raw,16,fake,LaVie-base,0.001,-1455.5125062881523,2000,258,0,0.0,0.0,0.014670934228657465,0.001
videofeedback,local_d2_target_diagonal_raw,16,fake,ModelScope,0.001,-1455.5125062881523,2000,246,0,0.0,0.0,0.015375585936884312,0.001
videofeedback,local_d2_target_diagonal_raw,16,fake,Pika,0.001,-1455.5125062881523,2000,132,0,0.0,0.0,0.02827898679860847,0.001
videofeedback,local_d2_target_diagonal_raw,16,fake,SoRA-Clip,0.001,-1455.5125062881523,2000,290,1,0.0034482758620689655,0.0006089649232823187,0.01927066283291753,0.001
videofeedback,local_d2_target_diagonal_raw,16,fake,Text2Video-Zero,0.001,-1455.5125062881523,2000,296,0,0.0,-8.673617379884035e-19,0.012811633307158257,0.001
videofeedback,local_d2_target_diagonal_raw,16,fake,VideoCrafter2,0.001,-1455.5125062881523,2000,232,2,0.008620689655172414,0.0023672963054105767,0.030881560192953607,0.001
videofeedback,local_d2_target_diagonal_raw,16,fake,ZeroScope-576w,0.001,-1455.5125062881523,2000,276,0,0.0,8.673617379884035e-19,0.01372726842149399,0.001
videofeedback,local_d2_target_diagonal_raw,16,real,all_real,0.01,-1453.7831342237569,2000,296,2,0.006756756756756757,0.0018549062808743601,0.024297110359970946,0.01
videofeedback,local_d2_target_diagonal_raw,16,real,DiDeMo,0.01,-1453.7831342237569,2000,148,0,0.0,-1.734723475976807e-18,0.025299143267784395,0.01
videofeedback,local_d2_target_diagonal_raw,16,real,Panda70M,0.01,-1453.7831342237569,2000,148,2,0.013513513513513514,0.00371374962448039,0.04792866004147199,0.01
videofeedback,local_d2_target_diagonal_raw,16,fake,AnimateDiff,0.01,-1453.7831342237569,2000,218,5,0.022935779816513763,0.009835660528271731,0.05255781134247377,0.01
videofeedback,local_d2_target_diagonal_raw,16,fake,Fast-SVD,0.01,-1453.7831342237569,2000,290,18,0.06206896551724138,0.039618717544322626,0.09596956526843696,0.01
videofeedback,local_d2_target_diagonal_raw,16,fake,LVDM,0.01,-1453.7831342237569,2000,276,0,0.0,8.673617379884035e-19,0.01372726842149399,0.01
videofeedback,local_d2_target_diagonal_raw,16,fake,LaVie-base,0.01,-1453.7831342237569,2000,258,3,0.011627906976744186,0.00396227074024854,0.033623292924951774,0.01
videofeedback,local_d2_target_diagonal_raw,16,fake,ModelScope,0.01,-1453.7831342237569,2000,246,1,0.0040650406504065045,0.0007179402640030384,0.02266272220997978,0.01
videofeedback,local_d2_target_diagonal_raw,16,fake,Pika,0.01,-1453.7831342237569,2000,132,10,0.07575757575757576,0.041668064785746674,0.1338413785585272,0.01
videofeedback,local_d2_target_diagonal_raw,16,fake,SoRA-Clip,0.01,-1453.7831342237569,2000,290,10,0.034482758620689655,0.01883625976655142,0.062300891254885936,0.01
videofeedback,local_d2_target_diagonal_raw,16,fake,Text2Video-Zero,0.01,-1453.7831342237569,2000,296,5,0.016891891891891893,0.007236239007100655,0.03892635263427524,0.01
videofeedback,local_d2_target_diagonal_raw,16,fake,VideoCrafter2,0.01,-1453.7831342237569,2000,232,8,0.034482758620689655,0.017574592043126905,0.06655590358690232,0.01
videofeedback,local_d2_target_diagonal_raw,16,fake,ZeroScope-576w,0.01,-1453.7831342237569,2000,276,1,0.0036231884057971015,0.0006398682949870938,0.020234303978525055,0.01
videofeedback,local_d2_target_mean_source_whitening,16,real,all_real,0.001,0.03179366866866867,2000,296,16,0.05405405405405406,0.03354276386492924,0.08599193611172544,0.001
videofeedback,local_d2_target_mean_source_whitening,16,real,DiDeMo,0.001,0.03179366866866867,2000,148,7,0.0472972972972973,0.023096998492809107,0.09440357716856325,0.001
videofeedback,local_d2_target_mean_source_whitening,16,real,Panda70M,0.001,0.03179366866866867,2000,148,9,0.060810810810810814,0.03231935672911554,0.1115244853304248,0.001
videofeedback,local_d2_target_mean_source_whitening,16,fake,AnimateDiff,0.001,0.03179366866866867,2000,218,56,0.25688073394495414,0.20344281889678406,0.31873846965273045,0.001
videofeedback,local_d2_target_mean_source_whitening,16,fake,Fast-SVD,0.001,0.03179366866866867,2000,290,149,0.5137931034482759,0.4564651285188207,0.5707604373768406,0.001
videofeedback,local_d2_target_mean_source_whitening,16,fake,LVDM,0.001,0.03179366866866867,2000,276,112,0.4057971014492754,0.34954313006709953,0.4646373697804283,0.001
videofeedback,local_d2_target_mean_source_whitening,16,fake,LaVie-base,0.001,0.03179366866866867,2000,258,60,0.23255813953488372,0.18516132097471158,0.2878022019848029,0.001
videofeedback,local_d2_target_mean_source_whitening,16,fake,ModelScope,0.001,0.03179366866866867,2000,246,61,0.24796747967479674,0.19815603667289783,0.30552921802699506,0.001
