dataset,video_id,selector,repeat,duration_seconds,total_seconds,coarse_decode_prepare_seconds,selection_seconds,coarse_forward_seconds,dense_decode_prepare_seconds,dense_forward_seconds,score_seconds,cdf_seconds,coarse_frames,dense_unique_frames,effective_k,observed_unique_frames,coarse_computed_frames,dense_computed_frames,peak_gpu_allocated_mib,peak_gpu_reserved_mib,rss_mib,process_peak_rss_mib,final_score,window_frames,source_model,subset,score_error
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/86344334-97ae-5493-afc4-65be75e10b08.mp4,uniform1,1,8.0,0.176343772560358,1.84476375579834e-05,5.004554986953736e-05,0.0,0.0910777430981397,0.0610603112727403,0.0234385728836059,0.0006949361413717,0,16.0,1.0,16,0.0,16.0,1270.11669921875,1382.0,1892.09375,3117.203125,0.397625,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/sakaya5_515406421%2Fmd.mp4,fc1,0,5.0,0.2055882681161165,0.0422355122864246,0.0002593025565147,0.0300025641918182,0.0480881948024034,0.0656331405043602,0.0186534915119409,0.0007115006446838,5,16.0,1.0,19,8.0,16.0,1270.11669921875,1382.0,1943.59375,3117.203125,0.0106249999999999,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/ronron0319_846026845%2Fmd.mp4,fc1,0,10.0,0.3097184710204601,0.0885537229478359,0.000378206372261,0.0618269089609384,0.0797276180237531,0.0626232381910085,0.0158970430493354,0.0007078442722558,10,16.0,1.0,24,16.0,16.0,1270.11669921875,1382.0,1966.5625,3117.203125,0.780125,16,,,
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/lw7pTwpx0K0_38_48.mp4,fc1,0,10.01,1.2386035677045584,0.5841350052505732,0.0003681071102619,0.05986949801445,0.5167626421898603,0.0610551759600639,0.0156978834420442,0.0007109511643648,10,16.0,1.0,24,16.0,16.0,1270.11669921875,1382.0,1983.37109375,3117.203125,0.5267499999999999,16,,,
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/VxM96IYzw0Q_2_15.mp4,fc1,0,13.013,0.2889868896454572,0.0914675220847129,0.0004239603877067,0.0602575037628412,0.0509184077382087,0.0645843595266342,0.0206239838153123,0.0007071942090988,13,16.0,1.0,27,16.0,16.0,1270.11669921875,1382.0,1974.88671875,3117.203125,0.311625,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/d5e45073-c4e6-5614-90b6-162e5011ffed.mp4,fc1,0,8.0,0.3630057610571384,0.1088211890310049,0.0003367904573678,0.0299669709056615,0.1484177634119987,0.0618568044155836,0.0128931384533643,0.0007085483521223,8,16.0,1.0,22,8.0,16.0,1270.11669921875,1382.0,2002.60546875,3117.203125,0.170875,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/86344334-97ae-5493-afc4-65be75e10b08.mp4,fc1,0,8.0,0.3871182855218649,0.1103026084601879,0.0003239773213863,0.0299848113209009,0.167548019438982,0.0610233768820762,0.0172403696924448,0.0006898082792758,8,16.0,1.0,22,8.0,16.0,1270.11669921875,1382.0,2001.91015625,3117.203125,0.397875,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/sakaya5_515406421%2Fmd.mp4,fc1,1,5.0,0.2242837790399789,0.0447820574045181,0.0002567172050476,0.030636603012681,0.0722064916044473,0.0626796130090951,0.0130106955766677,0.0007070545107126,5,16.0,1.0,19,8.0,16.0,1270.11669921875,1382.0,2001.91015625,3117.203125,0.0106249999999999,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/ronron0319_846026845%2Fmd.mp4,fc1,1,10.0,0.2846192717552185,0.0749017186462879,0.0003800950944423,0.059669267386198,0.0578518416732549,0.0672062803059816,0.0238789729773998,0.0007259547710418,10,16.0,1.0,24,16.0,16.0,1270.11669921875,1382.0,1996.12890625,3117.203125,0.780125,16,,,
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/lw7pTwpx0K0_38_48.mp4,fc1,1,10.01,1.219693897292018,0.5530263837426901,0.0003669336438179,0.0599823389202356,0.5326158162206411,0.0610536634922027,0.0119679663330316,0.0006760098040103,10,16.0,1.0,24,16.0,16.0,1270.11669921875,1382.0,2119.8984375,3117.203125,0.5267499999999999,16,,,
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/VxM96IYzw0Q_2_15.mp4,fc1,1,13.013,0.2965356390923261,0.0908471867442131,0.0004449803382158,0.0652669500559568,0.0518694128841161,0.0644138231873512,0.0229873042553663,0.0007011275738477,13,16.0,1.0,27,16.0,16.0,1270.11669921875,1382.0,1915.88671875,3117.203125,0.311625,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/d5e45073-c4e6-5614-90b6-162e5011ffed.mp4,fc1,1,8.0,0.359874315559864,0.1100969091057777,0.0003176871687173,0.0298893768340349,0.1458305176347494,0.0609297081828117,0.0121110416948795,0.0006941650062799,8,16.0,1.0,22,8.0,16.0,1270.11669921875,1382.0,1989.58984375,3117.203125,0.170875,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/86344334-97ae-5493-afc4-65be75e10b08.mp4,fc1,1,8.0,0.363307798281312,0.1080697774887085,0.0003092158585786,0.0307201407849788,0.1486504562199115,0.0609957166016101,0.0138437617570161,0.0007135868072509,8,16.0,1.0,22,8.0,16.0,1270.11669921875,1382.0,2038.7734375,3117.203125,0.397875,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/sakaya5_515406421%2Fmd.mp4,uniform3,0,5.0,0.3317618481814861,1.895055174827576e-05,5.706585943698883e-05,0.0,0.102378025650978,0.1523076742887497,0.076297964900732,0.0006978902965784,0,40.0,3.0,40,0.0,40.0,1270.11669921875,1384.0,2059.140625,3117.203125,0.0129645895895895,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/ronron0319_846026845%2Fmd.mp4,uniform3,0,10.0,0.4001805428415537,2.090074121952057e-05,6.009079515933991e-05,0.0,0.1421149931848049,0.1828149538487196,0.0744597651064395,0.0007059145718812,0,48.0,3.0,48,0.0,48.0,1270.11669921875,1384.0,2102.015625,3117.203125,0.7265803303303303,16,,,
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/lw7pTwpx0K0_38_48.mp4,uniform3,0,10.01,1.155977327376604,2.129189670085907e-05,5.553103983402252e-05,0.0,0.9095793664455414,0.1824432052671909,0.0631512533873319,0.0007234904915094,0,48.0,3.0,48,0.0,48.0,1270.11669921875,1384.0,2124.55078125,3117.203125,0.349389014014014,16,,,
